host,service,plot,type,x,y,unit
google,PING,rta,avg,1390564800,0.01953,time
google,PING,rta,avg,1390586400,0.04023,time
google,PING,rta,avg,1390608000,0.00763,time
google,PING,rta,avg,1390629600,0.00964,time
google,PING,rta,avg,1390651200,0.01817,time
google,PING,rta,avg,1390672800,0.03742,time
google,PING,rta,avg,1390694400,0.00782,time
google,PING,rta,avg,1390716000,0.01185,time
google,PING,rta,avg,1390737600,0.03128,time
google,PING,rta,avg,1390759200,0.0106,time
google,PING,rta,avg,1390780800,0.00755,time
google,PING,rta,avg,1390802400,0.00796,time
google,PING,rta,avg,1390824000,0.01164,time
google,PING,rta,avg,1390845600,0.04647,time
google,PING,rta,min,1389376800,0.00759,time
google,PING,rta,min,1389398400,0.00712,time
google,PING,rta,min,1389420000,0.0071,time
google,PING,rta,min,1389441600,0.00766,time
google,PING,rta,min,1389463200,0.00833,time
google,PING,rta,min,1389484800,0.00688,time
google,PING,rta,min,1389506400,0.00734,time
google,PING,rta,min,1389528000,0.00958,time
google,PING,rta,min,1389549600,0.00755,time
google,PING,rta,min,1389571200,0.00713,time
google,PING,rta,min,1389592800,0.00714,time
google,PING,rta,min,1389614400,0.00737,time
google,PING,rta,min,1389636000,0.03515,time
google,PING,rta,min,1389657600,0.03472,time
google,PING,rta,min,1389679200,0.03491,time
google,PING,rta,min,1389700800,0.03535,time
google,PING,rta,min,1389722400,0.03523,time
google,PING,rta,min,1389744000,0.03464,time
google,PING,rta,min,1389765600,0.03451,time
google,PING,rta,min,1389787200,0.00905,time
google,PING,rta,min,1389808800,0.00768,time
google,PING,rta,min,1389830400,0.00683,time
google,PING,rta,min,1389852000,0.00741,time
google,PING,rta,min,1389873600,0.00729,time
google,PING,rta,min,1389895200,0.00753,time
google,PING,rta,min,1389916800,0.00682,time
google,PING,rta,min,1389938400,0.00695,time
google,PING,rta,min,1389960000,0.00709,time
google,PING,rta,min,1389981600,0.00706,time
google,PING,rta,min,1390003200,0.00665,time
google,PING,rta,min,1390024800,0.00694,time
google,PING,rta,min,1390046400,0.00784,time
google,PING,rta,min,1390068000,0.00773,time
google,PING,rta,min,1390089600,0.00675,time
google,PING,rta,min,1390111200,0.00686,time
google,PING,rta,min,1390132800,0.00756,time
google,PING,rta,min,1390154400,0.00737,time
google,PING,rta,min,1390176000,0.00701,time
google,PING,rta,min,1390197600,0.00706,time
google,PING,rta,min,1390219200,0.0073,time
google,PING,rta,min,1390240800,0.00733,time
google,PING,rta,min,1390262400,0.00699,time
google,PING,rta,min,1390284000,0.00716,time
google,PING,rta,min,1390305600,0.00727,time
google,PING,rta,min,1390327200,0.00746,time
google,PING,rta,min,1390348800,0.00704,time
google,PING,rta,min,1390370400,0.00711,time
google,PING,rta,min,1390392000,0.00751,time
google,PING,rta,min,1390413600,0.00774,time
google,PING,rta,min,1390435200,0.00728,time
google,PING,rta,min,1390456800,0.00712,time
google,PING,rta,min,1390478400,0.0073,time
google,PING,rta,min,1390500000,0.03534,time
google,PING,rta,min,1390521600,0.03501,time
google,PING,rta,min,1390543200,0.00715,time
google,PING,rta,min,1390564800,0.00787,time
google,PING,rta,min,1390586400,0.00781,time
google,PING,rta,min,1390608000,0.00703,time
google,PING,rta,min,1390629600,0.00688,time
google,PING,rta,min,1390651200,0.00792,time
google,PING,rta,min,1390672800,0.00912,time
google,PING,rta,min,1390694400,0.00704,time
google,PING,rta,min,1390716000,0.0073,time
google,PING,rta,min,1390737600,0.008,time
google,PING,rta,min,1390759200,0.00736,time
google,PING,rta,min,1390780800,0.00691,time
google,PING,rta,min,1390802400,0.00698,time
google,PING,rta,min,1390824000,0.00709,time
google,PING,rta,min,1390845600,0.00893,time
google,PING,pl,avg,1389376800,3.03703,percent
google,PING,pl,avg,1389398400,0,percent
google,PING,pl,avg,1389420000,0,percent
google,PING,pl,avg,1389441600,0,percent
google,PING,pl,avg,1389463200,0,percent
google,PING,pl,avg,1389484800,0,percent
google,PING,pl,avg,1389506400,0,percent
google,PING,pl,avg,1389528000,0.44445,percent
